ID	Tissue	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
TCGA-02-0051	Primary Solid Tumor	0.00161227	-0.00440818	-0.0371655	0.155353	-0.00726534	-0.00183609	0.0173119	-0.00326213	-0.0182128	0.00326442	-0.00388679	-0.00135412	0.00259713	-0.00476952	0.000144617	0.00546644	-0.00170664	-0.000895886	-0.000773299	0.000739066
TCGA-02-0052	Primary Solid Tumor	-0.00455931	-0.00366651	-0.000751766	-0.000317949	0.0014522	-0.00187881	0.00234392	-0.00230044	0.0020985	-0.00332733	-0.00260572	-0.000896386	0.00527327	0.00294543	0.00037827	8.17062e-05	-0.00144983	-0.00245451	0.00129039	0.00605184
TCGA-02-0054	Primary Solid Tumor	-0.00463688	-0.00302583	-7.74519e-05	-0.000472942	0.00104123	-0.00335324	0.00120601	-0.00724763	0.00087978	0.00480658	0.00503265	0.00394314	-0.0169149	-0.00190336	-0.00012278	0.00186106	0.00104586	0.00230239	0.000285011	-0.00398377
TCGA-02-0055	Primary Solid Tumor	-0.00455411	-0.00334391	0.000255771	-0.000175203	0.00135094	-0.00282355	0.00199856	-0.0014032	0.000575762	-0.00245225	-0.00292687	-0.00414596	0.00798076	0.00151699	-0.0020322	0.00199571	-0.00197361	0.00170505	0.000786365	-0.0054333
TCGA-02-0057	Primary Solid Tumor	-0.00417426	-0.00393733	-0.000339298	-0.000366267	0.00141397	-0.000965847	0.0019774	0.0038687	0.00209938	-0.00180191	-0.00277851	-0.00264295	0.005471	0.00201058	7.02928e-05	-0.00139598	-0.000564147	0.00359671	0.001142	0.0101267
TCGA-02-0058	Primary Solid Tumor	-0.00430146	-0.00313714	-9.32305e-05	-0.000609908	0.00095534	-0.00188568	0.00319511	-0.00184106	0.000152476	0.000152629	0.00143358	0.00139913	-0.00173975	0.00149876	-0.00156732	-0.00400053	-0.00369271	0.00302667	-0.0034103	0.000515921
TCGA-02-0059	Primary Solid Tumor	-0.00408385	-0.00333307	2.4194e-05	-0.000896574	0.000681653	0.000768318	0.00220505	0.00545145	-0.000689795	-0.00182355	-0.00196912	-0.000832371	0.00467095	0.00112631	-0.00177929	-0.00503866	-0.00357602	0.00256419	-0.0058671	-0.0116068
TCGA-02-0060	Primary Solid Tumor	0.000797363	0.0268722	6.7059e-05	0.000729877	0.00721073	-0.00742541	0.000694036	0.00169578	8.09115e-05	0.00157452	0.00526259	-0.00115573	0.000714066	-0.00064564	-5.81221e-05	0.000263461	-0.000277379	0.000294732	-0.000175821	0.000472148
TCGA-02-0064	Primary Solid Tumor	-0.00303188	-0.00296104	0.00112468	1.51532e-05	0.00319126	0.00877458	0.000570083	0.02851	-0.000764883	-0.00149536	0.0018676	0.00035398	-0.00239166	-8.12386e-05	-0.000335576	-0.00899049	-0.00385992	0.00829839	-0.00329834	-0.0166743
TCGA-02-0068	Primary Solid Tumor	0.00220871	-0.00363687	-0.0376227	0.153002	-0.00728448	-0.00129829	0.0138594	-0.000306619	-0.0177086	-0.00527806	-0.00240809	-0.00101429	0.00530023	-0.00526933	6.61797e-05	0.000713046	0.000246965	-0.00103064	-0.00183518	-0.00301037
TCGA-02-0069	Primary Solid Tumor	0.00119084	0.0248591	-0.0030502	0.00407872	0.00637824	-0.00822587	-0.00824192	0.00144822	0.0135722	0.0123978	0.0216296	-0.00483339	0.00880567	0.00430588	0.000834458	0.0177494	0.00351166	-0.00400523	0.0045291	-0.00399549
TCGA-02-0070	Primary Solid Tumor	0.00187756	-0.00401373	-0.0353142	0.145594	-0.00572188	0.00109221	0.0176278	0.00990423	-0.019647	-0.00959011	0.000344479	0.00113019	0.00216583	-0.00310955	-0.000895427	-0.00181743	-0.0027539	0.00379313	-0.00424658	-0.0153875
TCGA-02-0071	Primary Solid Tumor	-0.00391514	-0.00371228	-0.00189011	0.00162772	-5.64339e-05	-0.00194383	-0.000901552	-0.00145308	0.00788223	0.00281785	-0.00504114	-0.00384037	0.00366	0.00256499	0.00085048	0.0108144	-0.00322965	-0.00153752	0.00361041	0.00371701
TCGA-02-0074	Primary Solid Tumor	-0.00309896	-0.00352368	0.000398419	-0.000117996	0.00220273	0.00470091	-0.000282721	0.0249779	0.00157046	-0.00184745	0.000493018	-0.000306157	-0.000357092	0.00189803	-0.000923298	-0.005026	-0.00150872	0.00483365	-0.00306151	-0.0161677
TCGA-02-0075	Primary Solid Tumor	-0.00453508	-0.00346289	-0.000230539	-0.00107962	0.000529224	-0.00295749	0.00311048	-0.00674907	0.000148998	-0.00102178	-0.00170861	-0.0017514	0.00597082	-0.000541951	-0.000122595	-0.00207305	-0.00288465	0.0027241	0.000254226	-8.65153e-05
TCGA-02-0079	Primary Solid Tumor	-0.00433917	-0.00380979	-0.000613046	0.000466253	0.00119694	-0.00240505	0.000988407	-0.00551085	0.00344266	-0.000794604	-0.00257031	-0.00401886	0.00513059	0.00380383	0.00129077	0.00256321	0.000788336	0.00192298	0.00164473	0.00285128
TCGA-02-0080	Primary Solid Tumor	-0.0041127	-0.00348403	-0.00189482	0.00124842	0.00223997	-0.00271026	0.000354769	-0.00351639	0.00777395	-0.00204705	0.00165526	0.00251229	0.0018877	0.00748034	0.00095513	0.00652919	-0.000968421	0.00240765	-0.000584247	0.00345736
TCGA-02-0083	Primary Solid Tumor	-0.00449167	-0.00372483	-0.000474565	7.29465e-05	0.00156726	-0.00223912	0.00243588	-0.00487498	0.00240332	0.000470985	-0.0028468	-0.00264954	0.00281739	-0.000163684	0.000461754	0.00453568	-0.00343756	-0.000914743	-0.00334781	-0.00688412
TCGA-02-0084	Primary Solid Tumor	-0.00321096	-0.00150373	-0.000421225	0.000222059	-0.00704384	9.70971e-05	-0.00123725	0.00235798	0.00161391	-0.000399583	-0.00300826	-0.00256515	0.000898189	0.00303756	0.000746347	0.00447401	-1.65168e-06	0.00202282	-0.00164524	-0.00315072
TCGA-02-0085	Primary Solid Tumor	-0.00455575	-0.00383247	2.86545e-06	-0.000725307	0.00196609	-0.00111096	0.00343509	-0.00393952	2.31642e-05	-0.00111578	-0.00104061	-0.0022879	0.00600797	-0.0010819	-0.00174476	-0.00122123	-0.0015408	-0.00071998	0.00136289	0.0160382
TCGA-02-0086	Primary Solid Tumor	-0.00472153	-0.00375154	-0.000300481	0.000478494	0.00105413	-0.003252	0.00189299	-0.00197206	0.00384707	2.86479e-05	-0.00210444	-0.0049199	0.00374453	0.00110228	0.00112022	0.00605344	0.0020795	-0.00287191	0.000177044	0.00193523
TCGA-02-0087	Primary Solid Tumor	-0.00143254	-0.00369533	-0.0116124	0.000953605	0.00172289	-0.00211161	-0.0411618	-0.00752251	-0.0211506	-0.0133504	-0.00108196	-0.0234992	0.000975637	0.0309277	0.0033151	0.00100055	0.000804646	0.000887975	0.00593333	0.00663381
TCGA-02-0089	Primary Solid Tumor	-0.00430679	-0.00385533	-0.00111847	0.000739474	0.00139433	-0.00230825	0.000547383	-0.00259362	0.00550167	0.00139274	-0.00334631	-0.00433913	0.00580487	0.000305223	-0.000129216	0.00767617	-0.00190303	0.00213091	-0.0011246	-0.00134035
TCGA-02-0099	Primary Solid Tumor	-0.00410358	-0.00407065	-0.000988216	0.00177749	0.00179685	-0.000642561	-0.00148214	0.00536142	0.0076958	0.00363443	-0.000500113	-0.00478766	0.00278301	0.000411234	0.000941923	0.00987928	0.00232543	-0.00416004	0.00209089	0.00400353
TCGA-02-0102	Primary Solid Tumor	-0.00415884	-0.00389222	0.000383706	-0.000584464	0.00164262	0.00114863	0.00140628	0.0120487	-2.06529e-05	-0.00183285	-0.00178513	-0.00233482	0.00467886	-0.000206393	9.5313e-05	-0.00482584	-0.000645002	0.00218328	-0.000650497	0.00204454
TCGA-02-0104	Primary Solid Tumor	0.00135785	-0.00388217	-0.0349107	0.141547	-0.0056934	-0.00198929	0.0175946	-0.00219233	-0.0180789	-0.00536667	-0.00135368	0.00348869	0.00286856	-0.00325534	-0.000572802	0.00380894	-0.00174921	0.00151636	-0.00173124	-0.00517894
TCGA-02-0106	Primary Solid Tumor	-0.00446893	-0.00396629	-0.00145078	-0.000280945	0.000888874	-0.00368604	0.000689482	-0.00292694	0.00418169	-0.00445347	-0.0024885	-0.00255478	0.00843042	0.00352665	0.000348775	0.00229036	0.00677921	-0.00487085	0.00454733	0.00681602
TCGA-02-0107	Primary Solid Tumor	-0.00420104	-0.00368394	-0.000532692	0.000260912	0.00236584	-0.00124307	0.00225007	0.000551152	0.00295762	-0.000612829	-9.80793e-05	-0.00365301	0.00701885	0.00162952	-0.00046537	0.00166907	0.00014098	0.000291611	0.00298293	0.0106918
TCGA-02-0111	Primary Solid Tumor	0.00131596	0.0262935	-0.00176168	0.00217476	0.00831794	-0.00717453	-0.000962951	0.00149428	0.00664946	0.000404765	0.00417535	-0.00182162	0.00384455	0.00441757	-3.65967e-05	0.00808337	0.00104586	-0.00167059	0.000369389	-0.00158884
TCGA-02-0113	Primary Solid Tumor	0.000854234	0.0263312	-0.000284531	0.000460708	0.0107741	-0.00691103	-0.000407652	0.000956475	0.000987165	-0.00816769	-0.0271041	0.00950618	-0.00795042	-0.00224495	-0.0019451	0.00153501	0.00308452	0.000276486	-0.00185711	-0.00292911
TCGA-02-0114	Primary Solid Tumor	0.0274733	-0.00403829	-0.116908	-0.0141278	0.002526	0.00554156	-0.0480019	-0.0044455	0.0951054	-0.136618	0.0316904	-0.0738867	-0.0387442	-0.0281275	-2.84552e-05	-0.0398336	0.00914577	0.00940846	0.00465362	0.0107853
TCGA-02-0115	Primary Solid Tumor	-0.000843598	0.00935383	0.00123532	0.0011872	0.000160906	0.0323648	-0.000866862	-0.00895075	0.0022811	0.00101725	-0.000577802	-2.31348e-05	-0.00205101	0.00156034	0.00213531	0.00493064	0.00276539	-0.00205407	0.00297045	0.00322793
TCGA-02-0116	Primary Solid Tumor	-0.00434511	-0.00336038	-0.000608024	0.000649271	0.00137802	-0.000887428	0.000401655	-0.00259068	0.00480487	0.00152582	-0.000644015	-0.000859066	0.000275999	0.00105312	0.000713015	0.00573946	0.000783304	-0.000327995	-0.00215753	-0.00389607
TCGA-02-0258	Primary Solid Tumor	-0.00409187	-0.00403246	-0.00114282	5.29225e-05	0.00179988	-0.00277838	-0.000428242	-0.00226533	0.00219929	-0.00128514	-0.000812704	-0.00320641	0.00352213	0.00273717	0.00238342	0.00090681	0.00484015	-0.005175	0.00303579	-0.00132842
TCGA-02-0260	Primary Solid Tumor	-0.00261745	-0.00307113	-0.001762	0.00029454	0.00195215	0.0048317	-0.00338059	0.0224555	0.00422243	-0.0079581	0.000633778	0.00020913	-0.00077841	0.00227422	1.04834e-07	-0.00185015	0.000359128	0.00245344	-0.00434513	-0.0255143
TCGA-02-0266	Primary Solid Tumor	-0.00214139	0.00428454	-0.000769457	-3.98097e-05	-0.0262684	-0.00392138	-0.00669149	0.00645252	0.000790428	0.00105531	-0.00183316	-0.00263896	-0.000706187	0.0021849	-0.000730857	0.00785328	0.00984525	-0.0107395	0.00580976	-0.00187944
TCGA-02-0269	Primary Solid Tumor	-0.00449428	-0.00384732	-0.000483936	-0.000533984	0.00149857	-0.0019621	0.00208136	-0.0019395	0.000357995	-0.00355331	-0.000502024	-0.00210257	0.00525039	0.00291956	0.000595175	0.000180554	0.000859541	5.20141e-05	-0.00205706	-0.00271624
TCGA-02-0271	Primary Solid Tumor	-0.00262473	0.00124189	4.86255e-05	-0.000247527	-0.0171694	-0.00168213	-0.00028441	0.0104025	0.0018673	-0.000263601	-0.00412739	-0.00313063	0.00390128	0.00112764	0.000701768	0.00642355	0.00605043	-0.00281828	-0.0002371	-0.0151246
TCGA-02-0281	Primary Solid Tumor	-0.00390673	-0.00369625	-0.00273912	-0.00121934	0.000782815	-0.00238794	-0.00326226	-0.00368711	0.00324811	-0.00998133	-0.00132091	-0.000317045	0.00598157	0.00364168	0.000253891	0.00310166	0.00378514	-0.00568694	0.00226313	-0.0143734
TCGA-02-0285	Primary Solid Tumor	-0.00347595	-0.0037258	-0.00310732	-0.000771797	0.0020085	-0.00215123	-0.00197083	-0.00147412	0.00786452	-0.0024532	-0.000595335	-0.000342311	0.00655324	-0.000212848	0.00158501	0.0066745	0.00502237	-0.00633341	0.00646614	0.00504778
TCGA-02-0289	Primary Solid Tumor	-0.00349034	-0.00373725	-0.00308584	-0.00092358	0.00209948	-0.00248816	-0.00257186	-0.0038034	0.00869967	0.00224658	-0.00133377	0.000906087	0.00306109	-0.00238584	0.000595503	0.00742368	0.00377895	-0.00890534	0.00452472	0.00183502
TCGA-02-0290	Primary Solid Tumor	-0.00282472	-0.00357767	-0.00815494	-0.00186407	0.00358666	-0.00310213	-0.0480827	-0.00652278	-0.0384656	0.00165672	0.00188253	-0.0132707	-0.0070474	0.0225826	0.00306646	0.0144732	0.000550491	-0.00483427	0.00366407	-0.00141783
TCGA-02-0317	Primary Solid Tumor	-0.00283888	-0.00294634	-0.00207095	-0.000631406	0.0013985	0.00259952	-0.00210079	0.0218428	0.00553665	-0.00683028	0.00337606	0.00584375	-0.00411769	-0.00587711	-0.000242612	0.0103823	-0.000333033	-0.00348171	0.00146724	-0.00413014
TCGA-02-0321	Primary Solid Tumor	-0.00446599	-0.00357254	-0.000176751	-0.000400609	0.000819191	-0.00281528	0.00235729	-0.0066357	0.00169445	-0.00156969	-0.000371157	-0.00185239	0.00177985	0.0013583	0.00171407	0.00359493	-0.000270597	-0.00186353	0.00313447	0.0114611
TCGA-02-0324	Primary Solid Tumor	-0.00428763	-0.0035031	-0.000186833	-0.000461001	0.000148994	-0.00138353	0.00224291	-0.00345614	0.000904659	-0.00395745	-0.00079173	-0.0034213	0.00485124	0.00305149	0.000530014	0.00164157	0.00101831	-0.00149549	0.00125063	0.00279488
TCGA-02-0325	Primary Solid Tumor	-0.00435907	-0.00349331	-0.00028241	-0.000440273	0.000828789	-0.00188311	0.00201758	-0.00182832	0.00163687	-0.00303184	-0.0023912	-0.00247021	0.00760724	0.00195073	-0.000335901	0.00276818	0.00142927	-0.00109747	0.00148993	0.00259851
TCGA-02-0326	Primary Solid Tumor	-0.00427994	-0.00392202	0.000315685	-0.000753762	0.00132107	-0.000297107	0.00251982	0.00362062	-0.000502214	-0.00147134	0.00036834	0.00131234	-0.00404392	0.00026523	-0.00186348	-0.00238789	-0.000275216	0.00383888	0.00367411	0.0106409
TCGA-02-0330	Primary Solid Tumor	-0.00407599	-0.00360053	-0.00193361	0.00191863	0.00187055	-0.0013397	-0.00144857	-0.00270353	0.00478429	0.000107071	-0.000787342	-0.00399628	-0.00126842	0.00751194	-0.000451743	0.00604127	-0.00105231	0.00209382	0.000764024	-0.00205326
TCGA-02-0332	Primary Solid Tumor	0.000296435	-0.00220206	-0.00463517	0.0018906	0.00226097	0.00615578	-0.0129699	0.0221213	0.00780094	-0.00709405	0.00246553	0.000178973	-0.00348383	0.0114245	0.00306369	-0.00258014	0.002172	-0.00371124	0.0019579	-0.0218536
TCGA-02-0333	Primary Solid Tumor	-0.00454025	-0.00369517	4.05014e-05	-0.000663855	0.00150344	-0.00132505	0.00297719	-0.000783871	-0.000424445	-0.0015594	-0.00253689	-0.00157181	0.00451358	-0.0013223	-0.000171369	-0.002709	-0.00344917	0.00267105	-0.00234534	-0.00735902
TCGA-02-0337	Primary Solid Tumor	-0.00439943	-0.00316811	-8.62595e-06	-0.000623357	0.000665872	-0.00181907	0.00304929	-0.00450117	0.000465424	0.000818246	0.00236876	0.000789283	-0.000422172	-0.000508576	0.000102795	-0.0023484	-0.00191228	0.00338606	-0.00245341	-0.00720962
