ID	POP	EUR	EAS	AMR	SAS	AFR	tissue
TCGA-06-0159	EUR	0.973959	1.8e-05	0.018533	1e-05	0.00748	Blood Derived Normal
TCGA-06-0160	EUR	0.993434	0.006536	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0165	EUR	0.984605	0.003867	1e-05	0.011509	1e-05	Blood Derived Normal
TCGA-06-0166	EUR	0.618989	0.067	0.041448	0.017095	0.255468	Blood Derived Normal
TCGA-06-0167	AFR	0.266552	0.005062	1e-05	0.003697	0.724679	Blood Derived Normal
TCGA-06-0168	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0169	EUR	0.991748	0.003704	1e-05	0.004528	1e-05	Blood Derived Normal
TCGA-06-0171	EUR	0.861348	1e-05	0.002603	0.12098	0.015059	Blood Derived Normal
TCGA-06-0173	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0174	EUR	0.999853	0.000117	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0176	EUR	0.991446	0.008225	1e-05	1e-05	0.000309	Blood Derived Normal
TCGA-06-0178	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0184	EUR	0.99284	4.2e-05	1e-05	1e-05	0.007098	Blood Derived Normal
TCGA-06-0185	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0187	EUR	0.976796	0.007328	0.004924	0.004171	0.006781	Blood Derived Normal
TCGA-06-0188	EUR	0.997689	1e-05	1e-05	0.000381	0.00191	Blood Derived Normal
TCGA-06-0189	EUR	0.993687	0.000743	1e-05	1e-05	0.00555	Blood Derived Normal
TCGA-06-0190	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0192	EUR	0.910716	1e-05	1e-05	0.073246	0.016018	Blood Derived Normal
TCGA-06-0195	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0197	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0201	EUR	0.997957	1e-05	1e-05	0.002013	1e-05	Blood Derived Normal
TCGA-06-0206	EUR	0.9628	0.03088	0.000864	0.003919	0.001537	Blood Derived Normal
TCGA-06-0208	EUR	0.984166	0.002221	0.01243	1e-05	0.001173	Blood Derived Normal
TCGA-06-0209	EUR	0.974114	0.001526	0.000186	1e-05	0.024164	Blood Derived Normal
TCGA-06-0210	EUR	0.985338	0.004778	1e-05	1e-05	0.009864	Blood Derived Normal
TCGA-06-0211	EUR	0.995451	1e-05	0.004519	1e-05	1e-05	Blood Derived Normal
