ID	Tissue	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
TCGA-02-0051	Blood Derived Normal	0.0014005	-0.00452265	-0.0800079	0.0062848	0.0259459	-0.189782	-8.00533e-06	-0.00114722	-0.00177894	-0.0136217	0.00336037	0.000672219	0.00939252	0.00278639	0.000300044	-0.000673993	0.00352848	0.00521941	0.00467476	0.00487511
TCGA-02-0052	Blood Derived Normal	-0.00474955	-0.00410548	0.000795468	0.00222109	-0.00200067	-0.000265907	-0.00479473	-0.00118565	-0.00189206	0.000600874	0.00676853	-0.000640489	0.000378033	-0.0012429	-0.00171625	-0.000703191	0.000548096	-0.00216392	-0.0108196	-0.0130194
TCGA-02-0054	Blood Derived Normal	-0.0013471	-0.00369127	-0.0215549	0.00288444	0.00146146	0.00558822	0.00979617	0.0153729	0.00242991	0.0788628	-0.00569404	-0.000814249	-0.047539	-0.0176731	-0.00280254	0.00644932	-0.0142106	-0.0105829	-0.00428795	0.00298566
TCGA-02-0055	Blood Derived Normal	-0.00481815	-0.00377402	0.000450366	0.00123545	-0.00320439	-0.000329192	-0.00205988	-0.0014779	-0.00201266	0.000455119	0.00943909	-0.00204875	0.000728377	0.00115453	-0.00076239	0.000249824	-0.000117823	-0.00298924	-0.00976007	-0.00712604
TCGA-02-0057	Blood Derived Normal	-0.00451471	-0.00439676	0.000125198	0.00149164	-0.00157203	0.000398068	0.00362317	-0.00312597	-0.00199811	0.000373071	0.00632319	0.000210801	0.00161763	-0.000853711	0.000416811	0.000765002	-0.0017186	0.00192473	0.0123749	0.0103171
TCGA-02-0058	Blood Derived Normal	-0.00483387	-0.00408103	0.000310567	0.00137959	-0.00327218	-0.000318861	-0.0048322	-0.00203083	-0.00365475	0.00119035	0.0113984	-0.00203359	-0.000365727	0.00124433	0.000100636	-0.00175479	0.00216499	-0.00156245	-0.0164426	-0.0104151
TCGA-02-0059	Blood Derived Normal	0.00124853	-0.00430501	-0.0778837	0.00716587	0.0253294	-0.192218	-0.000776716	0.000561302	0.000739581	-0.0120959	-0.00287766	2.19213e-05	0.0101115	0.00573161	0.000465204	-0.00135372	0.00504239	0.00577034	-0.00173273	0.0028316
TCGA-02-0060	Blood Derived Normal	-0.00435889	-0.00343532	-0.00384002	0.0011009	-0.00286412	0.000999893	-0.00846729	0.00408417	0.00163286	0.0146211	-0.0218934	0.0010568	-0.0206925	0.00156356	-0.00147849	-0.0129647	0.0161573	0.0258455	-0.00715157	0.00866018
TCGA-02-0064	Blood Derived Normal	-0.00484428	-0.00432614	0.000649843	0.00101625	-0.00173846	0.000144525	-0.0011524	-0.00232009	-0.00120817	-0.00119429	-0.00533117	-0.000218769	4.88937e-05	0.000772804	-0.00077268	0.000810994	0.000931683	-0.00196106	-0.00639429	0.00406128
TCGA-02-0068	Blood Derived Normal	0.00160403	-0.00384304	-0.0774111	0.00657241	0.0258584	-0.186929	0.00378552	0.00142614	-0.00222846	-0.0126149	0.00647125	-7.58061e-05	0.0126549	0.00261733	-0.000602413	-6.31866e-05	0.00105138	-0.000539534	0.000185897	0.00597349
TCGA-02-0069	Blood Derived Normal	0.000529854	0.0268316	-0.000723684	0.00504103	-0.00839687	-0.000785414	0.00116472	-0.00198476	0.0259388	0.000969648	0.0051381	-0.000528427	0.000857144	-0.00115639	0.000514297	0.0012899	-0.0018753	-9.11765e-05	0.00111539	-0.000686239
TCGA-02-0070	Blood Derived Normal	0.00131924	-0.00421358	-0.0747967	0.00785591	0.0272217	-0.184808	0.0145491	-0.000786001	-0.000508614	-0.0142475	0.00298526	0.000659677	0.0149844	0.00565044	-0.00113934	-0.000669475	-0.000234375	-0.00453142	-0.0174867	0.00924076
TCGA-02-0071	Blood Derived Normal	-0.00460536	-0.00412507	0.000570307	-0.000229144	-0.00227989	-0.000399483	-0.0026589	-0.000845362	-0.00334141	-0.00026684	0.00547434	6.8385e-05	-9.12766e-05	0.000565104	0.000219822	0.000311812	-8.54339e-07	0.00122758	0.00463253	-0.00381551
TCGA-02-0074	Blood Derived Normal	0.0010417	-0.00434682	-0.0481622	0.00231907	0.00144519	0.0295573	0.00818418	0.104802	0.000629965	-0.0459748	0.0106714	-0.000252498	0.00965706	-0.0228994	-0.00439186	-0.00670554	0.00923346	0.0183554	0.0066302	0.0281742
TCGA-02-0075	Blood Derived Normal	-0.00479024	-0.00384243	0.000281361	0.00108013	-0.00169092	-5.75693e-06	-0.00269038	-0.00165716	-0.00184399	-0.000168971	0.0072576	0.000393794	0.000649008	-0.000666334	0.00243991	0.00103485	-0.00106244	0.000553395	0.0019647	-0.00336154
TCGA-02-0079	Blood Derived Normal	-0.00463015	-0.00432973	-0.000472418	0.00126212	-0.00303347	0.00100242	-0.00578984	0.0070946	-0.00171439	-0.00532757	0.00715498	0.00083803	0.00148664	0.00399234	0.0020892	-0.000873065	0.000350507	-0.00269053	0.00111496	-0.00494791
TCGA-02-0080	Blood Derived Normal	-0.00467744	-0.00391944	-0.000438279	0.00208982	-0.00316837	0.000175614	-0.00468797	-0.00320955	0.000792454	-0.00287272	0.00040523	-0.000191313	0.000746685	-0.000997124	-0.000450499	-0.0019857	-0.00132202	0.00144624	0.00349972	-0.0021055
TCGA-02-0083	Blood Derived Normal	-0.00494105	-0.0042451	0.000479009	0.00161789	-0.00230152	-3.97169e-05	-0.00573138	-0.00187718	-0.00204268	-5.57169e-05	0.00494567	0.000451366	0.000582494	0.000337907	-0.00138381	-0.00276969	0.00222637	-0.0029716	-0.0113757	-0.0116129
TCGA-02-0084	Blood Derived Normal	-0.00485446	-0.00393368	0.000634356	0.00172721	-0.00138486	8.46436e-05	-0.00341076	-0.00193002	-0.00283784	-0.000250654	0.00597432	-0.000863807	0.000989333	4.96883e-05	0.00195372	0.00100856	-0.00325893	0.00218071	0.015123	0.00522652
TCGA-02-0085	Blood Derived Normal	-0.00492535	-0.00429226	0.00112458	0.00201983	-0.00166349	-0.000317576	0.00554524	-0.000411942	-0.00259909	-0.00138307	0.010173	0.00149372	0.000607649	0.00152673	0.00188036	0.00302472	-0.00331188	-0.00318978	-0.0118725	0.00695571
